author,word,character,digit,colon,semicolon,qmark,period,comma,exclamation,@,#
5988,15,77,1,0,0,0,0,0,0,0,0
5989,7,38,0,0,0,0,0,0,0,0,0
5982,16,95,0,0,0,0,0,1,0,0,0
5983,12,69,2,0,0,0,0,1,0,0,0
5980,10,60,0,0,0,0,0,1,0,0,0
5981,22,122,1,0,0,0,1,0,0,0,0
5986,14,81,0,0,0,0,0,2,0,0,0
5987,14,74,0,0,0,0,0,1,0,0,0
5984,19,112,1,0,0,0,0,1,1,1,0
5985,14,78,1,0,0,0,0,1,0,0,0
6970,10,61,0,0,0,0,0,1,0,0,0
6796,11,71,0,0,0,0,0,0,0,1,0
6797,9,55,0,0,0,0,0,1,0,0,0
6794,15,97,0,0,0,0,0,0,1,0,0
6795,15,89,0,0,0,0,0,1,0,1,0
6792,11,61,0,0,0,0,0,0,0,0,0
6793,16,90,0,0,0,0,0,0,0,0,0
6790,19,118,0,1,0,0,0,0,0,0,0
6791,13,78,0,0,0,0,0,0,0,0,0
6799,13,68,0,0,0,0,0,2,0,0,0
271,13,83,0,0,0,0,0,0,0,0,0
273,15,92,0,1,0,1,0,1,0,1,0
274,10,60,1,0,0,0,0,0,0,0,0
275,9,51,0,0,0,0,0,1,0,0,0
276,14,99,0,0,0,0,0,2,0,0,0
277,12,64,0,0,0,0,0,1,0,0,0
278,13,80,0,1,0,0,0,0,0,0,0
279,11,61,0,0,0,0,0,1,0,0,0
9528,7,49,0,0,0,0,0,0,0,0,0
9529,17,102,0,0,0,0,0,0,0,1,0
9258,13,70,0,0,0,0,0,0,0,0,0
9259,11,63,0,0,0,0,0,1,0,0,0
9524,13,79,0,0,0,0,0,1,0,0,0
9525,8,49,0,0,0,0,0,0,0,0,0
9526,14,81,0,0,0,0,0,1,1,0,0
9527,7,43,0,0,0,0,0,0,0,0,0
9252,14,84,0,0,0,0,0,1,0,1,0
9253,15,77,0,0,0,0,0,0,1,0,0
9522,15,91,1,0,0,0,0,1,0,0,0
9251,11,64,0,0,0,0,0,1,2,0,0
2142,11,58,0,0,0,0,0,1,0,0,0
3519,13,70,0,0,0,0,0,1,0,0,0
3513,10,49,0,0,0,0,0,0,0,0,0
3512,10,60,0,0,0,0,0,4,0,0,0
3511,9,61,0,0,0,0,0,0,0,0,0
3510,14,79,0,0,0,0,0,3,0,0,0
3517,13,142,0,0,0,0,0,1,0,0,0
3516,14,80,0,0,0,0,0,0,0,0,0
